Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,309.500641,323.885895,301.656677,315.244019,315.244019,2242114046
2021-07-16,315.691101,322.997772,301.932495,302.985596,302.985596,1688212208
2021-07-17,302.934845,306.530853,295.387482,300.497925,300.497925,1298507379
2021-07-18,300.595978,309.114258,299.972260,302.480499,302.480499,1254819647
2021-07-19,302.268219,303.829193,279.708527,280.018616,280.018616,1514754521
2021-07-20,280.564972,283.206146,255.850754,264.782379,264.782379,1819454491
2021-07-21,264.494751,298.791748,261.226379,292.531372,292.531372,1957623339
2021-07-22,293.142670,298.403900,287.733368,293.641144,293.641144,1495118544
2021-07-23,293.601318,300.993774,281.696106,299.282990,299.282990,1849700307
2021-07-24,299.047852,307.840515,296.111511,302.071869,302.071869,1644709273
2021-07-25,301.846619,304.057892,292.890625,302.436157,302.436157,1351522797
2021-07-26,302.732880,327.635284,301.097412,304.478241,304.478241,2572081528
2021-07-27,304.124268,318.371826,298.481812,313.602600,313.602600,1870220991
2021-07-28,314.055115,318.442291,308.223450,313.428650,313.428650,1626648048
2021-07-29,313.619232,319.759003,309.144531,316.749451,316.749451,1384576144
2021-07-30,317.064087,325.250122,307.009766,322.909363,322.909363,1588918308
2021-07-31,322.538879,338.025146,317.685913,333.549591,333.549591,1717984015
2021-08-01,332.292694,347.417603,329.341736,333.484009,333.484009,1788390755
2021-08-02,332.923218,338.042328,326.415283,331.103119,331.103119,1348495243
2021-08-03,330.872040,334.634979,318.062836,322.747742,322.747742,1365471563
2021-08-04,323.506073,336.967468,320.041260,334.918793,334.918793,1279262186
2021-08-05,334.912720,340.048431,323.897095,337.873871,337.873871,1551187442
2021-08-06,337.947968,347.042969,331.659668,342.136993,342.136993,1623970506
2021-08-07,342.376434,359.750214,340.593842,355.741364,355.741364,1903003766
2021-08-08,356.266541,359.738617,337.252716,342.064758,342.064758,1547133821
2021-08-09,341.916290,357.399323,333.671448,354.966827,354.966827,1648422571
2021-08-10,354.449615,375.722931,349.313324,371.954376,371.954376,2150475826
2021-08-11,372.093719,408.589020,371.216217,391.757050,391.757050,2542670896
2021-08-12,391.405273,406.091553,372.220215,385.818970,385.818970,2217067872
2021-08-13,386.044067,411.170532,383.216766,410.944885,410.944885,1724229835
2021-08-14,410.783539,418.921265,400.752045,409.034485,409.034485,2023364348
2021-08-15,408.982208,414.931000,396.865204,414.595032,414.595032,1826134192
2021-08-16,414.357666,436.618408,411.123260,417.470856,417.470856,2620571467
2021-08-17,416.069122,435.723206,399.745911,401.908905,401.908905,2572609791
2021-08-18,401.882050,412.306244,387.815887,398.251465,398.251465,2288117050
2021-08-19,396.494385,431.260223,391.495056,430.988861,430.988861,2549215331
2021-08-20,430.975037,457.603729,422.080170,454.936310,454.936310,2451578694
2021-08-21,455.133392,460.255707,444.977661,448.920258,448.920258,2120660728
2021-08-22,449.225616,458.402893,439.168213,449.053497,449.053497,1826865701
2021-08-23,449.105469,509.342712,447.666382,499.890594,499.890594,3857489743
2021-08-24,500.217712,504.102325,461.755981,471.595459,471.595459,2978438301
2021-08-25,472.202026,506.295166,470.639221,502.786255,502.786255,3289398273
2021-08-26,503.552490,518.756348,472.031769,479.006104,479.006104,3277913533
2021-08-27,478.630157,495.012329,467.901184,494.498688,494.498688,2563319587
2021-08-28,494.670624,496.885406,483.324249,486.196930,486.196930,1676741698
2021-08-29,486.208588,495.676300,477.200806,480.283020,480.283020,1763538464
2021-08-30,480.289948,481.131653,458.153290,459.490753,459.490753,2007036766
2021-08-31,460.623993,477.282227,452.485168,464.418732,464.418732,2378049328
2021-09-01,464.272919,490.068726,455.758087,490.068726,490.068726,2303587593
2021-09-02,489.859894,504.541260,480.036896,483.921051,483.921051,2324361979
2021-09-03,483.756592,494.395203,475.225891,488.604706,488.604706,2051522050
